Province,fsa,Gender,Age,population
Newfoundland and Labrador ,A0A,Female,25 to 29,1036
Newfoundland and Labrador ,A0A,Female,30 to 34,1088
Newfoundland and Labrador ,A0A,Female,35 to 39,1219
Newfoundland and Labrador ,A0A,Female,40 to 44,1400
Newfoundland and Labrador ,A0A,Female,45 to 49,1510
Newfoundland and Labrador ,A0A,Female,50 to 54,1796
Newfoundland and Labrador ,A0A,Female,55 to 59,2079
Newfoundland and Labrador ,A0A,Female,60 to 64,2079
Newfoundland and Labrador ,A0A,Female,65 to 69,2082
Newfoundland and Labrador ,A0A,Female,70 to 74,1693
Newfoundland and Labrador ,A0A,Female,75 to 79,1024
Newfoundland and Labrador ,A0A,Female,80 to 84,589
Newfoundland and Labrador ,A0A,Female,85 plus,635
Newfoundland and Labrador ,A0A,Male,25 to 29,1112
Newfoundland and Labrador ,A0A,Male,30 to 34,1153
Newfoundland and Labrador ,A0A,Male,35 to 39,1149
Newfoundland and Labrador ,A0A,Male,40 to 44,1338
Newfoundland and Labrador ,A0A,Male,45 to 49,1552
Newfoundland and Labrador ,A0A,Male,50 to 54,1786
Newfoundland and Labrador ,A0A,Male,55 to 59,2053
Newfoundland and Labrador ,A0A,Male,60 to 64,2026
Newfoundland and Labrador ,A0A,Male,65 to 69,2001
Newfoundland and Labrador ,A0A,Male,70 to 74,1686
Newfoundland and Labrador ,A0A,Male,75 to 79,1021
Newfoundland and Labrador ,A0A,Male,80 to 84,568
Newfoundland and Labrador ,A0A,Male,85 plus,314
Newfoundland and Labrador ,A0B,Female,25 to 29,318
Newfoundland and Labrador ,A0B,Female,30 to 34,351
Newfoundland and Labrador ,A0B,Female,35 to 39,388
Newfoundland and Labrador ,A0B,Female,40 to 44,467
Newfoundland and Labrador ,A0B,Female,45 to 49,647
Newfoundland and Labrador ,A0B,Female,50 to 54,758
Newfoundland and Labrador ,A0B,Female,55 to 59,942
Newfoundland and Labrador ,A0B,Female,60 to 64,1020
Newfoundland and Labrador ,A0B,Female,65 to 69,1014
Newfoundland and Labrador ,A0B,Female,70 to 74,896
Newfoundland and Labrador ,A0B,Female,75 to 79,539
Newfoundland and Labrador ,A0B,Female,80 to 84,312
Newfoundland and Labrador ,A0B,Female,85 plus,319
Newfoundland and Labrador ,A0B,Male,25 to 29,424
Newfoundland and Labrador ,A0B,Male,30 to 34,346
Newfoundland and Labrador ,A0B,Male,35 to 39,364
Newfoundland and Labrador ,A0B,Male,40 to 44,435
Newfoundland and Labrador ,A0B,Male,45 to 49,587
Newfoundland and Labrador ,A0B,Male,50 to 54,769
Newfoundland and Labrador ,A0B,Male,55 to 59,947
Newfoundland and Labrador ,A0B,Male,60 to 64,1063
Newfoundland and Labrador ,A0B,Male,65 to 69,1066
Newfoundland and Labrador ,A0B,Male,70 to 74,927
Newfoundland and Labrador ,A0B,Male,75 to 79,585
Newfoundland and Labrador ,A0B,Male,80 to 84,324
Newfoundland and Labrador ,A0B,Male,85 plus,183
Newfoundland and Labrador ,A0C,Female,25 to 29,215
Newfoundland and Labrador ,A0C,Female,30 to 34,267
Newfoundland and Labrador ,A0C,Female,35 to 39,291
Newfoundland and Labrador ,A0C,Female,40 to 44,346
Newfoundland and Labrador ,A0C,Female,45 to 49,489
Newfoundland and Labrador ,A0C,Female,50 to 54,617
Newfoundland and Labrador ,A0C,Female,55 to 59,648
Newfoundland and Labrador ,A0C,Female,60 to 64,692
Newfoundland and Labrador ,A0C,Female,65 to 69,667
Newfoundland and Labrador ,A0C,Female,70 to 74,578
Newfoundland and Labrador ,A0C,Female,75 to 79,365
Newfoundland and Labrador ,A0C,Female,80 to 84,235
Newfoundland and Labrador ,A0C,Female,85 plus,224
Newfoundland and Labrador ,A0C,Male,25 to 29,253
Newfoundland and Labrador ,A0C,Male,30 to 34,261
Newfoundland and Labrador ,A0C,Male,35 to 39,277
Newfoundland and Labrador ,A0C,Male,40 to 44,331
Newfoundland and Labrador ,A0C,Male,45 to 49,449
Newfoundland and Labrador ,A0C,Male,50 to 54,591
Newfoundland and Labrador ,A0C,Male,55 to 59,709
Newfoundland and Labrador ,A0C,Male,60 to 64,696
Newfoundland and Labrador ,A0C,Male,65 to 69,695
Newfoundland and Labrador ,A0C,Male,70 to 74,577
Newfoundland and Labrador ,A0C,Male,75 to 79,344
Newfoundland and Labrador ,A0C,Male,80 to 84,208
Newfoundland and Labrador ,A0C,Male,85 plus,154
Newfoundland and Labrador ,A0E,Female,25 to 29,331
Newfoundland and Labrador ,A0E,Female,30 to 34,401
Newfoundland and Labrador ,A0E,Female,35 to 39,476
Newfoundland and Labrador ,A0E,Female,40 to 44,555
Newfoundland and Labrador ,A0E,Female,45 to 49,764
Newfoundland and Labrador ,A0E,Female,50 to 54,933
Newfoundland and Labrador ,A0E,Female,55 to 59,1015
Newfoundland and Labrador ,A0E,Female,60 to 64,1032
Newfoundland and Labrador ,A0E,Female,65 to 69,1035
Newfoundland and Labrador ,A0E,Female,70 to 74,923
Newfoundland and Labrador ,A0E,Female,75 to 79,531
Newfoundland and Labrador ,A0E,Female,80 to 84,357
Newfoundland and Labrador ,A0E,Female,85 plus,278
Newfoundland and Labrador ,A0E,Male,25 to 29,425
Newfoundland and Labrador ,A0E,Male,30 to 34,385
Newfoundland and Labrador ,A0E,Male,35 to 39,414
Newfoundland and Labrador ,A0E,Male,40 to 44,479
Newfoundland and Labrador ,A0E,Male,45 to 49,690
Newfoundland and Labrador ,A0E,Male,50 to 54,924
Newfoundland and Labrador ,A0E,Male,55 to 59,1000
Newfoundland and Labrador ,A0E,Male,60 to 64,976
Newfoundland and Labrador ,A0E,Male,65 to 69,1113
Newfoundland and Labrador ,A0E,Male,70 to 74,915
Newfoundland and Labrador ,A0E,Male,75 to 79,511
Newfoundland and Labrador ,A0E,Male,80 to 84,263
Newfoundland and Labrador ,A0E,Male,85 plus,145
Newfoundland and Labrador ,A0G,Female,25 to 29,483
Newfoundland and Labrador ,A0G,Female,30 to 34,593
Newfoundland and Labrador ,A0G,Female,35 to 39,715
Newfoundland and Labrador ,A0G,Female,40 to 44,854
Newfoundland and Labrador ,A0G,Female,45 to 49,1161
Newfoundland and Labrador ,A0G,Female,50 to 54,1424
Newfoundland and Labrador ,A0G,Female,55 to 59,1539
Newfoundland and Labrador ,A0G,Female,60 to 64,1728
Newfoundland and Labrador ,A0G,Female,65 to 69,1775
Newfoundland and Labrador ,A0G,Female,70 to 74,1527
Newfoundland and Labrador ,A0G,Female,75 to 79,955
Newfoundland and Labrador ,A0G,Female,80 to 84,611
Newfoundland and Labrador ,A0G,Female,85 plus,567
Newfoundland and Labrador ,A0G,Male,25 to 29,593
Newfoundland and Labrador ,A0G,Male,30 to 34,571
Newfoundland and Labrador ,A0G,Male,35 to 39,642
Newfoundland and Labrador ,A0G,Male,40 to 44,820
Newfoundland and Labrador ,A0G,Male,45 to 49,1133
Newfoundland and Labrador ,A0G,Male,50 to 54,1472
Newfoundland and Labrador ,A0G,Male,55 to 59,1589
Newfoundland and Labrador ,A0G,Male,60 to 64,1685
Newfoundland and Labrador ,A0G,Male,65 to 69,1730
Newfoundland and Labrador ,A0G,Male,70 to 74,1546
Newfoundland and Labrador ,A0G,Male,75 to 79,1003
Newfoundland and Labrador ,A0G,Male,80 to 84,568
Newfoundland and Labrador ,A0G,Male,85 plus,349
Newfoundland and Labrador ,A0H,Female,25 to 29,266
Newfoundland and Labrador ,A0H,Female,30 to 34,309
Newfoundland and Labrador ,A0H,Female,35 to 39,388
Newfoundland and Labrador ,A0H,Female,40 to 44,477
Newfoundland and Labrador ,A0H,Female,45 to 49,616
Newfoundland and Labrador ,A0H,Female,50 to 54,748
Newfoundland and Labrador ,A0H,Female,55 to 59,793
Newfoundland and Labrador ,A0H,Female,60 to 64,857
Newfoundland and Labrador ,A0H,Female,65 to 69,835
Newfoundland and Labrador ,A0H,Female,70 to 74,736
Newfoundland and Labrador ,A0H,Female,75 to 79,448
Newfoundland and Labrador ,A0H,Female,80 to 84,288
Newfoundland and Labrador ,A0H,Female,85 plus,215
Newfoundland and Labrador ,A0H,Male,25 to 29,337
Newfoundland and Labrador ,A0H,Male,30 to 34,303
Newfoundland and Labrador ,A0H,Male,35 to 39,309
Newfoundland and Labrador ,A0H,Male,40 to 44,373
Newfoundland and Labrador ,A0H,Male,45 to 49,551
Newfoundland and Labrador ,A0H,Male,50 to 54,723
Newfoundland and Labrador ,A0H,Male,55 to 59,831
Newfoundland and Labrador ,A0H,Male,60 to 64,880
Newfoundland and Labrador ,A0H,Male,65 to 69,852
Newfoundland and Labrador ,A0H,Male,70 to 74,723
Newfoundland and Labrador ,A0H,Male,75 to 79,418
Newfoundland and Labrador ,A0H,Male,80 to 84,266
Newfoundland and Labrador ,A0H,Male,85 plus,180
Newfoundland and Labrador ,A0J,Female,25 to 29,110
