Province,fsa,Gender,Age,Language,population
Quebec ,G3B,Female,85 plus,English,0
Quebec ,G7Y,Female,80 to 84,English,0
Quebec ,G4A,Female,45 to 49,English,0
Quebec ,G7T,Female,85 plus,English,0
Quebec ,G8C,Female,75 to 79,English,0
Quebec ,G6S,Female,25 to 29,English,0
Quebec ,G8E,Female,40 to 44,English,0
Quebec ,G8K,Female,85 plus,English,0
Quebec ,G7Z,Female,80 to 84,English,0
Quebec ,G5V,Female,30 to 34,English,0
Quebec ,G7Y,Female,45 to 49,English,0
Quebec ,G8H,Female,35 to 39,English,0
Quebec ,G8N,Female,65 to 69,English,0
Quebec ,G8E,Female,35 to 39,English,0
Quebec ,G8E,Female,80 to 84,English,0
Quebec ,G8K,Female,80 to 84,English,0
Quebec ,G5T,Female,30 to 34,English,0
Quebec ,G5X,Female,25 to 29,English,0
Quebec ,G4A,Female,40 to 44,English,0
Quebec ,G8C,Female,35 to 39,English,0
Quebec ,G8V,Female,80 to 84,English,0
Quebec ,G6A,Female,75 to 79,English,0
Quebec ,G8E,Female,65 to 69,English,0
Quebec ,G1B,Female,85 plus,English,0
Quebec ,G6R,Female,40 to 44,English,0
Quebec ,G7Z,Female,25 to 29,English,0
Quebec ,G8E,Female,25 to 29,English,0
Quebec ,G7P,Female,85 plus,English,0
Quebec ,G8E,Female,30 to 34,English,0
Quebec ,G5Z,Female,85 plus,English,0
Quebec ,G8E,Female,60 to 64,English,0
Quebec ,G0H,Female,85 plus,English,0
Quebec ,G7K,Female,25 to 29,English,0
Quebec ,G8C,Female,30 to 34,English,0
Quebec ,G6R,Female,45 to 49,English,0
Quebec ,G6S,Female,50 to 54,English,0
Quebec ,G7P,Female,65 to 69,English,0
Quebec ,G8C,Female,45 to 49,English,0
Quebec ,G8G,Female,40 to 44,English,0
Quebec ,G8N,Female,30 to 34,English,0
Quebec ,J2Y,Female,85 plus,English,0
Quebec ,G6S,Female,75 to 79,English,0
Quebec ,G7K,Female,30 to 34,English,0
Quebec ,G8E,Female,45 to 49,English,0
New Brunswick ,E8M,Female,85 plus,English,0
Quebec ,J2E,Female,75 to 79,English,0
Quebec ,G0V,Female,85 plus,English,0
Quebec ,G4A,Female,85 plus,English,0
Quebec ,G6K,Female,85 plus,English,0
Quebec ,H5B,Female,65 to 69,English,0
Quebec ,J1Z,Female,80 to 84,English,0
Quebec ,G8C,Female,60 to 64,English,0
Quebec ,G8M,Female,30 to 34,English,0
Quebec ,G6C,Female,75 to 79,English,0
Quebec ,G8E,Female,50 to 54,English,0
Quebec ,G8N,Female,50 to 54,English,0
Quebec ,G4A,Female,65 to 69,English,0
Quebec ,G7P,Female,40 to 44,English,0
Quebec ,G8H,Female,40 to 44,English,0
Quebec ,G5N,Female,75 to 79,English,0
Quebec ,G8G,Female,80 to 84,English,0
Quebec ,G5J,Female,45 to 49,English,0
Quebec ,H5B,Female,80 to 84,English,0
Quebec ,J2R,Female,85 plus,English,0
Quebec ,G8V,Female,75 to 79,English,0
Quebec ,G5J,Female,80 to 84,English,0
Quebec ,G8N,Female,60 to 64,English,0
Quebec ,G8C,Female,25 to 29,English,0
Quebec ,G8M,Female,75 to 79,English,0
Quebec ,J1R,Female,85 plus,English,0
Quebec ,G6S,Female,40 to 44,English,0
Quebec ,G7T,Female,70 to 74,English,0
Quebec ,G4A,Female,80 to 84,English,0
Quebec ,G0E,Female,30 to 34,English,0
Quebec ,G3E,Female,85 plus,English,0
Quebec ,G8G,Female,25 to 29,English,0
Quebec ,G4A,Female,25 to 29,English,0
Quebec ,G7Y,Female,35 to 39,English,0
Quebec ,G8G,Female,55 to 59,English,0
Quebec ,G7K,Female,75 to 79,English,0
Quebec ,G8G,Female,30 to 34,English,0
Quebec ,G5T,Female,45 to 49,English,0
Quebec ,G7K,Female,35 to 39,English,0
Quebec ,G7P,Female,55 to 59,English,0
Quebec ,G9R,Female,80 to 84,English,0
Quebec ,G7N,Female,85 plus,English,0
Quebec ,G0E,Female,25 to 29,English,0
Quebec ,G8E,Female,70 to 74,English,0
Quebec ,G4A,Female,55 to 59,English,0
Quebec ,G8G,Female,50 to 54,English,0
Quebec ,G5X,Female,75 to 79,English,0
Quebec ,G7P,Female,70 to 74,English,0
Quebec ,G8J,Female,85 plus,English,0
Quebec ,G6R,Female,30 to 34,English,0
Quebec ,G6Y,Female,85 plus,English,0
Quebec ,G7Y,Female,65 to 69,English,0
Quebec ,G8C,Female,55 to 59,English,0
Quebec ,G8N,Female,80 to 84,English,0
Quebec ,G5N,Female,80 to 84,English,0
Quebec ,G6T,Female,85 plus,English,0
Quebec ,G8M,Female,35 to 39,English,0
Quebec ,G5T,Female,70 to 74,English,0
Quebec ,G8E,Female,85 plus,English,0
Quebec ,G0K,Female,85 plus,English,0
Quebec ,G8H,Female,50 to 54,English,0
Quebec ,G6R,Female,65 to 69,English,0
Quebec ,G5X,Female,80 to 84,English,0
Quebec ,G8G,Female,85 plus,English,0
Quebec ,G5J,Female,65 to 69,English,0
Quebec ,G5J,Female,75 to 79,English,0
Quebec ,G6S,Female,60 to 64,English,0
Quebec ,G7K,Female,50 to 54,English,0
Quebec ,G1B,Female,80 to 84,English,0
Quebec ,G7P,Female,35 to 39,English,0
Quebec ,G7P,Female,50 to 54,English,0
Quebec ,G8G,Female,65 to 69,English,0
Quebec ,G8M,Female,45 to 49,English,0
Quebec ,G5J,Female,85 plus,English,0
Quebec ,G7T,Female,60 to 64,English,0
Quebec ,G4A,Female,60 to 64,English,0
Quebec ,G8C,Female,65 to 69,English,0
Quebec ,G8G,Female,75 to 79,English,0
Quebec ,G8C,Female,50 to 54,English,0
Quebec ,G8C,Female,70 to 74,English,0
Quebec ,J2R,Female,80 to 84,English,0
Quebec ,G6R,Female,50 to 54,English,0
Quebec ,J1Z,Female,75 to 79,English,0
Quebec ,G8V,Female,85 plus,English,0
Quebec ,G8M,Female,60 to 64,English,0
Quebec ,G8J,Female,70 to 74,English,0
